direction	spBLEU	chrF++	len_ratio
min_Latn-tum_Latn	10.84	32.72	0.833
plt_Latn-knc_Arab	4.35	9.47	1.163
ydd_Hebr-grn_Latn	11.30	31.51	1.059
als_Latn-epo_Latn	29.95	51.06	1.006
azb_Arab-ast_Latn	11.23	33.36	1.061
nld_Latn-mos_Latn	4.47	22.31	1.102
sag_Latn-sun_Latn	7.43	27.46	1.054
lua_Latn-pag_Latn	11.84	34.56	1.041
rus_Cyrl-ell_Grek	29.76	44.39	0.952
amh_Ethi-kam_Latn	3.11	21.86	1.116
nus_Latn-acq_Arab	7.52	22.35	1.112
kik_Latn-kon_Latn	7.18	29.13	1.082
ydd_Hebr-zho_Hant	11.37	12.31	0.712
kin_Latn-min_Latn	15.83	38.93	0.994
lit_Latn-nob_Latn	23.96	46.66	0.956
tat_Cyrl-hrv_Latn	24.13	45.42	0.975
tso_Latn-bos_Latn	20.88	40.60	0.950
run_Latn-arb_Arab	20.60	36.48	0.959
vie_Latn-ltz_Latn	22.72	43.50	0.979
dan_Latn-rus_Cyrl	34.28	50.93	0.961
bho_Deva-kin_Latn	14.96	39.44	1.061
bel_Cyrl-crh_Latn	16.19	36.83	0.992
kmr_Latn-pan_Guru	20.33	34.89	0.947
jav_Latn-slv_Latn	22.91	43.57	0.958
dan_Latn-vec_Latn	17.69	42.94	0.994
tso_Latn-awa_Deva	11.50	27.28	1.080
awa_Deva-urd_Arab	26.45	44.53	0.979
nso_Latn-crh_Latn	15.62	34.97	0.902
jav_Latn-fra_Latn	35.19	53.11	0.957
mar_Deva-guj_Gujr	29.45	45.97	0.982
tuk_Latn-fon_Latn	4.16	17.48	1.147
quy_Latn-ars_Arab	10.02	23.51	0.910
fra_Latn-prs_Arab	24.00	45.31	1.022
uzn_Latn-nno_Latn	15.23	37.29	0.965
ydd_Hebr-azb_Arab	3.29	20.95	1.196
mni_Beng-tel_Telu	22.92	38.22	1.004
bem_Latn-slv_Latn	18.00	37.56	0.977
dzo_Tibt-slk_Latn	11.23	29.94	0.921
nld_Latn-fij_Latn	18.63	43.07	0.975
ben_Beng-san_Deva	6.11	23.65	1.037
pol_Latn-urd_Arab	20.18	38.37	0.989
min_Latn-por_Latn	31.38	51.01	0.984
srd_Latn-nus_Latn	11.69	26.56	1.136
kir_Cyrl-fin_Latn	17.86	39.22	0.886
fuv_Latn-cym_Latn	10.11	27.36	1.109
gla_Latn-ast_Latn	15.84	36.74	1.015
bem_Latn-fra_Latn	26.07	44.16	0.971
fon_Latn-hun_Latn	8.42	24.92	0.943
vie_Latn-lmo_Latn	6.86	28.03	0.925
kan_Knda-ssw_Latn	14.14	38.20	1.033
spa_Latn-tha_Thai	27.15	36.18	0.930
sot_Latn-crh_Latn	16.99	36.76	0.934
bug_Latn-nya_Latn	10.12	33.55	0.970
xho_Latn-knc_Arab	4.30	9.48	1.158
amh_Ethi-lug_Latn	8.19	33.36	1.086
kon_Latn-taq_Tfng	5.47	16.17	0.896
mkd_Cyrl-ceb_Latn	26.21	51.28	1.002
grn_Latn-ssw_Latn	10.88	34.19	1.026
deu_Latn-fuv_Latn	3.96	21.33	1.121
mri_Latn-kmr_Latn	11.40	30.56	1.033
min_Latn-sag_Latn	9.88	34.39	0.975
slv_Latn-zsm_Latn	27.94	53.40	1.000
sin_Sinh-som_Latn	12.60	36.48	0.983
fij_Latn-hat_Latn	12.93	33.55	1.009
acq_Arab-bak_Cyrl	18.66	39.61	0.998
pbt_Arab-tsn_Latn	17.53	42.06	1.017
lua_Latn-srp_Cyrl	13.79	31.36	0.894
sna_Latn-war_Latn	19.03	42.31	0.921
fij_Latn-lus_Latn	10.61	30.78	0.956
dan_Latn-lij_Latn	24.09	42.65	1.000
nus_Latn-knc_Latn	3.80	20.46	1.139
zul_Latn-san_Deva	4.82	21.36	1.058
war_Latn-acm_Arab	2.68	13.74	2.034
por_Latn-tum_Latn	12.37	35.00	0.831
acm_Arab-tpi_Latn	14.27	40.03	0.859
oci_Latn-ces_Latn	34.38	51.72	1.004
jpn_Jpan-kon_Latn	12.26	39.00	1.028
nld_Latn-taq_Tfng	6.43	17.53	0.954
gaz_Latn-mai_Deva	10.66	27.77	1.009
sot_Latn-npi_Deva	20.23	37.50	0.984
rus_Cyrl-ind_Latn	31.07	56.07	1.004
som_Latn-ita_Latn	20.29	41.19	0.903
khk_Cyrl-kan_Knda	22.85	39.77	0.983
spa_Latn-tir_Ethi	12.89	21.51	1.050
azj_Latn-mri_Latn	14.91	38.51	0.981
ssw_Latn-kor_Hang	14.28	21.24	0.971
kor_Hang-dik_Latn	3.42	19.58	1.353
hau_Latn-tur_Latn	21.40	40.46	0.948
tam_Taml-tzm_Tfng	15.19	26.55	1.033
lim_Latn-uzn_Latn	21.58	41.33	0.959
gla_Latn-rus_Cyrl	23.23	41.20	0.960
twi_Latn-dzo_Tibt	5.83	26.12	1.109
als_Latn-apc_Arab	23.99	40.42	1.012
azb_Arab-lij_Latn	10.86	29.58	1.114
als_Latn-gaz_Latn	8.06	32.51	1.031
hne_Deva-lua_Latn	7.04	33.05	1.130
kon_Latn-fij_Latn	14.43	37.51	0.891
ace_Arab-tam_Taml	9.03	25.63	1.071
gla_Latn-vec_Latn	12.54	36.50	1.037
arb_Arab-tzm_Tfng	17.59	28.90	1.041
kin_Latn-khk_Cyrl	15.46	32.86	0.974
bjn_Latn-tum_Latn	11.30	33.48	0.845
hat_Latn-ace_Latn	8.81	32.81	0.959
plt_Latn-kir_Cyrl	18.20	35.52	0.967
kir_Cyrl-dan_Latn	22.28	44.45	0.927
slk_Latn-ces_Latn	35.28	51.91	0.973
taq_Latn-mar_Deva	8.20	21.49	0.992
snd_Arab-lua_Latn	6.68	32.28	1.105
san_Deva-zul_Latn	14.11	36.86	0.983
kor_Hang-uzn_Latn	21.49	41.13	0.980
bjn_Latn-sag_Latn	10.35	35.20	1.001
lvs_Latn-cym_Latn	29.40	48.07	1.011
bel_Cyrl-npi_Deva	15.99	33.91	1.032
knc_Arab-bem_Latn	1.51	16.00	1.053
wol_Latn-arb_Arab	15.20	29.68	0.990
xho_Latn-kir_Cyrl	18.60	35.69	0.936
cjk_Latn-acm_Arab	0.81	8.86	2.055
ory_Orya-azj_Latn	18.96	38.05	0.920
dan_Latn-ast_Latn	25.01	48.18	1.009
nso_Latn-npi_Deva	19.17	35.80	0.962
ssw_Latn-ukr_Cyrl	17.25	34.89	0.902
srd_Latn-glg_Latn	30.72	52.21	0.938
kon_Latn-mkd_Cyrl	16.44	35.68	0.891
som_Latn-pap_Latn	17.08	38.88	0.912
mar_Deva-swh_Latn	26.20	50.30	0.993
bjn_Latn-por_Latn	31.93	51.35	0.984
lij_Latn-taq_Latn	3.99	21.66	0.979
gaz_Latn-tur_Latn	17.42	36.82	0.959
twi_Latn-cat_Latn	20.00	38.21	0.973
ltg_Latn-srd_Latn	24.15	46.88	1.023
yor_Latn-tzm_Tfng	12.53	23.56	0.963
kon_Latn-mos_Latn	3.97	20.06	1.003
szl_Latn-yor_Latn	10.16	24.59	1.123
tpi_Latn-sat_Beng	12.64	20.41	0.888
lim_Latn-dik_Latn	4.03	20.80	1.399
azb_Arab-rus_Cyrl	16.31	34.40	0.976
slv_Latn-ckb_Arab	17.15	38.66	1.026
hye_Armn-ayr_Latn	6.08	28.46	1.080
kmr_Latn-hye_Armn	21.65	37.61	0.923
sna_Latn-hin_Deva	20.79	37.55	0.953
mya_Mymr-ceb_Latn	21.96	46.98	0.989
por_Latn-sag_Latn	10.40	35.66	1.016
azb_Arab-vec_Latn	8.30	30.78	1.030
ssw_Latn-deu_Latn	19.95	40.31	0.911
gla_Latn-lij_Latn	17.07	35.48	1.051
lmo_Latn-srd_Latn	28.47	50.23	1.011
hau_Latn-mai_Deva	12.62	30.02	1.016
ltz_Latn-scn_Latn	10.14	32.87	0.956
quy_Latn-lao_Laoo	9.87	25.55	0.892
azb_Arab-nso_Latn	10.38	35.31	1.098
ltz_Latn-mni_Beng	21.16	32.97	1.010
asm_Beng-taq_Latn	2.96	19.68	0.994
hau_Latn-kas_Deva	3.44	14.61	0.911
sin_Sinh-bod_Tibt	5.50	25.45	1.035
ewe_Latn-ilo_Latn	12.04	35.95	0.872
mos_Latn-pap_Latn	9.92	27.94	0.988
sun_Latn-hrv_Latn	24.45	44.98	0.958
khk_Cyrl-fur_Latn	20.93	40.95	0.982
mya_Mymr-afr_Latn	22.39	45.93	0.960
sun_Latn-pbt_Arab	16.03	32.65	0.994
shn_Mymr-kin_Latn	12.25	36.09	1.103
lus_Latn-szl_Latn	11.68	28.25	0.999
bjn_Latn-kor_Hang	17.63	25.54	0.989
eng_Latn-ace_Latn	11.95	37.42	0.910
ukr_Cyrl-ibo_Latn	14.72	35.62	1.034
als_Latn-bam_Latn	7.01	27.53	1.025
crh_Latn-kas_Arab	12.00	26.47	0.995
urd_Arab-lua_Latn	6.68	32.44	1.100
prs_Arab-tzm_Tfng	16.67	28.12	1.034
mkd_Cyrl-ary_Arab	12.62	30.36	1.175
smo_Latn-kea_Latn	13.33	32.40	0.974
por_Latn-kor_Hang	22.04	30.37	0.971
kbp_Latn-ces_Latn	11.03	27.13	0.963
kab_Latn-zsm_Latn	16.18	42.02	1.017
kea_Latn-pol_Latn	24.55	42.23	0.971
ukr_Cyrl-bjn_Latn	14.33	40.49	1.019
zho_Hans-kab_Latn	8.28	26.32	1.084
est_Latn-cym_Latn	31.50	49.60	0.994
tpi_Latn-pes_Arab	18.23	34.85	0.998
ssw_Latn-tum_Latn	9.56	30.88	0.755
kac_Latn-tzm_Tfng	11.02	22.08	1.035
tur_Latn-fuv_Latn	3.91	20.78	1.110
ssw_Latn-sag_Latn	8.19	32.23	0.957
luo_Latn-cjk_Latn	2.41	19.94	0.998
por_Latn-deu_Latn	37.66	56.39	0.973
sna_Latn-eng_Latn	31.76	50.42	0.978
lua_Latn-ayr_Latn	4.86	24.63	0.989
grn_Latn-amh_Ethi	16.05	23.49	1.012
ben_Beng-shn_Mymr	11.52	30.24	0.947
afr_Latn-nus_Latn	12.47	26.69	1.081
npi_Deva-slk_Latn	27.28	46.48	0.966
tgk_Cyrl-umb_Latn	2.24	22.93	0.891
gla_Latn-nso_Latn	17.85	41.97	1.016
pap_Latn-azj_Latn	20.04	39.20	0.917
mni_Beng-est_Latn	16.08	37.74	0.983
heb_Hebr-kbp_Latn	9.76	26.87	1.021
por_Latn-ukr_Cyrl	32.13	49.70	0.961
ast_Latn-spa_Latn	27.41	48.68	0.890
kan_Knda-amh_Ethi	23.31	31.88	1.028
bam_Latn-ajp_Arab	10.25	26.21	1.076
nob_Latn-ajp_Arab	23.05	39.88	1.014
ssw_Latn-por_Latn	25.06	43.91	0.938
zul_Latn-shn_Mymr	11.65	30.96	0.925
scn_Latn-nus_Latn	11.54	26.40	1.151
wol_Latn-tsn_Latn	12.55	34.44	0.990
tzm_Tfng-kin_Latn	8.88	31.27	1.080
mos_Latn-ita_Latn	10.08	28.15	0.960
glg_Latn-kmb_Latn	3.82	23.78	0.945
zho_Hant-uig_Arab	16.42	34.24	1.175
bjn_Latn-ukr_Cyrl	23.22	41.64	0.950
dik_Latn-tpi_Latn	8.87	29.86	0.791
nus_Latn-dyu_Latn	1.69	15.81	0.968
bak_Cyrl-vie_Latn	28.95	48.33	0.971
pan_Guru-wol_Latn	6.14	24.85	1.143
fij_Latn-lin_Latn	12.66	38.62	1.039
tha_Thai-swh_Latn	23.30	47.93	1.002
pan_Guru-bul_Cyrl	32.86	51.61	0.986
bjn_Latn-deu_Latn	26.65	47.41	0.957
knc_Latn-swh_Latn	11.10	33.75	1.053
arz_Arab-spa_Latn	23.45	46.09	0.948
isl_Latn-arz_Arab	14.07	30.76	1.183
cym_Latn-kin_Latn	20.92	44.31	1.029
gaz_Latn-kas_Deva	2.90	13.84	0.920
apc_Arab-szl_Latn	21.91	39.82	0.994
ltg_Latn-ban_Latn	10.12	36.50	1.072
npi_Deva-kir_Cyrl	22.17	40.22	0.994
pag_Latn-fon_Latn	4.59	17.82	0.961
fuv_Latn-tir_Ethi	4.99	12.49	1.301
als_Latn-lit_Latn	26.58	48.04	0.990
ckb_Arab-ibo_Latn	15.06	35.74	0.946
ltz_Latn-uzn_Latn	25.64	45.37	0.970
cjk_Latn-zsm_Latn	9.46	30.26	0.997
jpn_Jpan-hat_Latn	16.77	40.40	1.024
ckb_Arab-bjn_Latn	13.57	39.02	0.998
kat_Geor-rus_Cyrl	27.10	45.60	0.966
lin_Latn-kmb_Latn	3.26	22.43	0.875
jpn_Jpan-lus_Latn	11.13	32.88	0.963
urd_Arab-swh_Latn	26.25	50.31	0.992
lmo_Latn-ban_Latn	11.51	37.12	1.091
ron_Latn-kas_Arab	13.57	28.21	1.010
kat_Geor-vec_Latn	12.26	36.90	0.991
run_Latn-sun_Latn	13.46	35.48	0.980
srp_Cyrl-kat_Geor	30.79	46.13	0.966
aka_Latn-ace_Latn	6.45	28.70	1.073
kas_Deva-mai_Deva	11.19	29.54	1.061
tir_Ethi-heb_Hebr	18.95	35.13	0.951
hun_Latn-lin_Latn	16.27	44.56	1.070
sat_Beng-taq_Tfng	4.77	16.02	0.979
ilo_Latn-taq_Tfng	6.79	17.95	0.950
umb_Latn-vec_Latn	5.81	24.06	0.875
knc_Arab-srp_Cyrl	2.07	14.16	1.052
mkd_Cyrl-eng_Latn	48.06	66.62	0.989
swh_Latn-kor_Hang	18.64	27.51	0.988
bem_Latn-aeb_Arab	4.31	17.86	1.659
mag_Deva-gla_Latn	20.54	43.23	0.991
umb_Latn-rus_Cyrl	9.10	24.49	0.876
sin_Sinh-dyu_Latn	1.30	14.99	0.922
sag_Latn-arb_Arab	11.21	25.11	0.969
bul_Cyrl-urd_Arab	23.67	42.42	0.992
dyu_Latn-knc_Arab	4.17	8.62	1.075
kir_Cyrl-jpn_Jpan	10.59	17.33	0.872
bho_Deva-sat_Beng	17.70	25.85	0.959
bos_Latn-xho_Latn	18.50	42.52	1.029
sot_Latn-pan_Guru	25.64	39.21	0.968
mri_Latn-spa_Latn	18.52	39.84	0.949
sna_Latn-ary_Arab	2.21	13.23	1.927
dik_Latn-kaz_Cyrl	7.49	21.54	0.941
taq_Latn-sot_Latn	7.12	27.15	1.004
zsm_Latn-xho_Latn	20.07	43.53	1.020
knc_Arab-pag_Latn	1.99	17.58	1.221
swh_Latn-deu_Latn	29.95	50.30	0.948
hrv_Latn-ast_Latn	22.75	45.56	0.989
knc_Latn-lua_Latn	4.72	27.92	1.186
gle_Latn-fuv_Latn	4.02	20.86	1.089
epo_Latn-bul_Cyrl	39.91	57.22	0.971
kat_Geor-lij_Latn	16.91	36.22	1.045
ceb_Latn-xho_Latn	18.83	42.08	1.016
jav_Latn-aeb_Arab	9.92	26.53	1.291
som_Latn-amh_Ethi	19.30	27.93	0.983
tha_Thai-lua_Latn	6.82	32.33	1.110
epo_Latn-wol_Latn	7.41	26.41	1.070
ibo_Latn-tam_Taml	20.33	38.98	0.950
zho_Hans-nob_Latn	21.43	44.41	0.996
nus_Latn-bod_Tibt	3.03	22.09	1.113
pap_Latn-ars_Arab	27.99	43.04	0.965
war_Latn-zsm_Latn	33.05	56.42	1.006
swh_Latn-ukr_Cyrl	25.80	44.02	0.940
amh_Ethi-sin_Sinh	30.30	39.21	0.933
fin_Latn-kan_Knda	27.26	43.39	1.000
ltz_Latn-dik_Latn	4.22	20.85	1.350
zho_Hant-quy_Latn	1.52	19.45	1.686
kir_Cyrl-lim_Latn	9.97	31.81	0.902
mai_Deva-nya_Latn	15.31	42.26	0.976
kmb_Latn-ces_Latn	10.43	26.07	0.936
nso_Latn-pan_Guru	24.08	37.72	0.956
lvs_Latn-tha_Thai	26.37	35.25	0.923
ayr_Latn-sna_Latn	7.84	27.39	0.910
umb_Latn-lij_Latn	8.70	22.91	1.012
tso_Latn-luo_Latn	11.59	34.41	0.972
bel_Cyrl-pan_Guru	21.78	35.58	1.006
bak_Cyrl-tso_Latn	16.82	42.43	1.056
kmr_Latn-crh_Latn	14.51	34.23	0.905
kas_Deva-tur_Latn	15.68	35.15	1.023
lug_Latn-ben_Beng	15.23	29.21	0.919
vec_Latn-sna_Latn	16.22	39.74	0.956
min_Latn-kea_Latn	19.37	40.26	0.992
zho_Hans-kam_Latn	2.52	21.25	1.256
yue_Hant-kas_Arab	10.69	24.93	0.949
tsn_Latn-kas_Arab	10.36	23.33	0.979
bjn_Arab-swe_Latn	9.74	30.21	1.041
snd_Arab-swh_Latn	27.53	51.47	0.984
kan_Knda-ita_Latn	25.30	46.64	0.936
sag_Latn-tsn_Latn	9.81	31.50	0.978
ydd_Hebr-zho_Hans	20.60	18.25	0.911
xho_Latn-slk_Latn	22.98	41.43	0.935
taq_Latn-ltg_Latn	6.71	23.65	1.048
kon_Latn-ydd_Hebr	6.81	25.06	0.942
swh_Latn-tum_Latn	12.33	34.98	0.839
lit_Latn-sin_Sinh	26.34	35.25	0.918
mya_Mymr-war_Latn	18.54	44.15	1.001
kin_Latn-nld_Latn	21.49	43.00	0.969
bod_Tibt-ron_Latn	13.03	31.60	0.963
cat_Latn-kik_Latn	12.60	34.27	0.938
cat_Latn-snd_Arab	24.07	41.50	1.006
zul_Latn-bos_Latn	23.79	44.05	0.962
grn_Latn-ita_Latn	19.51	39.79	0.932
ben_Beng-awa_Deva	16.50	34.24	1.022
mkd_Cyrl-hin_Deva	29.92	48.26	0.980
hne_Deva-swh_Latn	29.46	53.13	0.990
kik_Latn-lin_Latn	10.73	33.86	1.120
est_Latn-tha_Thai	26.80	35.80	0.901
mni_Beng-szl_Latn	15.26	33.16	1.019
bak_Cyrl-ell_Grek	27.47	42.31	0.948
nya_Latn-ilo_Latn	17.85	42.48	0.928
ben_Beng-bos_Latn	23.95	45.07	0.955
ces_Latn-glg_Latn	30.81	52.34	0.947
dzo_Tibt-knc_Arab	4.26	9.27	1.154
slv_Latn-yor_Latn	6.99	22.83	1.212
lim_Latn-mni_Beng	19.69	31.75	1.006
lim_Latn-scn_Latn	13.19	35.68	0.936
acm_Arab-kaz_Cyrl	16.60	39.22	1.015
kea_Latn-mag_Deva	22.78	42.47	1.028
apc_Arab-est_Latn	21.74	44.78	0.974
mai_Deva-oci_Latn	29.02	49.44	0.939
bul_Cyrl-prs_Arab	24.06	45.39	1.010
ayr_Latn-hau_Latn	9.36	29.27	1.010
mos_Latn-amh_Ethi	8.60	14.69	1.031
szl_Latn-ckb_Arab	17.44	38.89	1.042
vec_Latn-hau_Latn	21.65	45.00	0.985
zul_Latn-awa_Deva	11.46	27.60	1.073
kor_Hang-mni_Beng	18.97	30.80	1.010
tgk_Cyrl-hun_Latn	24.62	44.47	0.995
kor_Hang-scn_Latn	7.93	29.87	0.942
deu_Latn-bjn_Latn	15.84	41.57	1.010
tir_Ethi-eus_Latn	11.04	31.98	0.851
kin_Latn-jav_Latn	18.58	43.06	0.924
swh_Latn-por_Latn	35.76	54.48	0.972
fin_Latn-fur_Latn	27.03	46.92	0.995
lus_Latn-est_Latn	11.92	32.40	0.948
ory_Orya-ars_Arab	23.98	39.77	0.938
mar_Deva-lua_Latn	6.92	32.73	1.107
umb_Latn-nso_Latn	7.58	28.83	0.951
deu_Latn-ibo_Latn	15.15	36.61	1.058
kat_Geor-nso_Latn	15.12	41.20	1.061
twi_Latn-als_Latn	16.28	36.07	0.928
plt_Latn-slk_Latn	22.86	41.61	0.945
kan_Knda-pap_Latn	22.33	44.30	0.959
kab_Latn-acm_Arab	4.88	19.64	1.561
bho_Deva-pes_Arab	21.82	39.94	1.018
tso_Latn-san_Deva	4.85	20.88	1.054
pbt_Arab-sun_Latn	13.76	38.02	1.021
swh_Latn-sag_Latn	9.72	34.89	1.015
bod_Tibt-kmr_Latn	6.84	24.27	1.058
grn_Latn-pap_Latn	13.58	35.16	0.919
san_Deva-ewe_Latn	8.50	30.21	1.088
kir_Cyrl-bel_Cyrl	18.93	34.33	0.837
zho_Hans-lug_Latn	6.67	32.04	1.210
kbp_Latn-war_Latn	11.91	34.63	0.970
gla_Latn-lit_Latn	19.55	41.20	0.978
ron_Latn-fao_Latn	23.22	42.88	0.986
tat_Cyrl-nno_Latn	17.32	39.36	0.946
azj_Latn-ckb_Arab	14.66	36.48	1.070
srp_Cyrl-lug_Latn	8.24	34.30	1.134
bak_Cyrl-knc_Arab	4.15	9.54	1.181
kat_Geor-apc_Arab	20.20	35.92	0.997
ron_Latn-min_Latn	20.20	45.69	1.027
cjk_Latn-kas_Deva	2.14	11.30	0.985
hrv_Latn-epo_Latn	30.21	50.81	0.993
pap_Latn-arb_Arab	31.80	46.94	0.965
kat_Geor-gaz_Latn	7.13	31.20	1.053
bjn_Latn-pol_Latn	20.83	38.98	0.948
umb_Latn-gaz_Latn	3.58	23.59	0.974
kmb_Latn-ceb_Latn	12.48	34.09	0.897
ory_Orya-tsn_Latn	18.88	43.10	1.012
dzo_Tibt-ell_Grek	14.66	30.46	0.900
taq_Latn-pap_Latn	9.39	27.40	1.009
umb_Latn-apc_Arab	7.71	21.28	0.917
por_Latn-pol_Latn	26.99	44.61	0.957
ewe_Latn-hat_Latn	11.67	31.63	0.976
kea_Latn-kor_Hang	18.91	27.38	1.017
quy_Latn-sun_Latn	8.03	27.69	1.001
srd_Latn-mal_Mlym	27.02	41.90	0.962
ewe_Latn-lus_Latn	8.78	28.30	0.941
nya_Latn-kon_Latn	13.53	40.46	1.019
fao_Latn-ltz_Latn	21.48	42.11	0.986
aeb_Arab-fon_Latn	3.94	18.49	1.120
kan_Knda-ltg_Latn	18.52	37.94	1.004
kea_Latn-ukr_Cyrl	27.24	45.79	0.971
taq_Latn-ita_Latn	9.84	27.83	0.977
tat_Cyrl-tuk_Latn	17.85	36.96	0.914
mag_Deva-kin_Latn	16.50	40.98	1.046
tha_Thai-hne_Deva	16.71	36.22	0.994
kon_Latn-xho_Latn	10.63	31.70	0.926
uzn_Latn-pbt_Arab	15.81	32.70	1.015
crh_Latn-gle_Latn	22.41	43.03	0.981
urd_Arab-fin_Latn	21.96	43.70	0.948
bjn_Arab-hau_Latn	7.68	29.29	1.153
war_Latn-kas_Deva	4.39	16.25	0.924
dyu_Latn-tso_Latn	5.67	25.55	0.986
grn_Latn-ltg_Latn	13.76	32.36	0.986
tpi_Latn-scn_Latn	7.04	26.89	0.955
uzn_Latn-hrv_Latn	25.04	46.27	0.982
knc_Latn-hne_Deva	8.58	24.21	1.147
guj_Gujr-ayr_Latn	5.74	28.53	1.112
tpi_Latn-mni_Beng	18.03	29.20	0.997
kea_Latn-deu_Latn	32.50	52.49	0.970
azb_Arab-lit_Latn	13.47	34.37	0.999
ita_Latn-ayr_Latn	6.89	29.52	1.098
luo_Latn-ory_Orya	14.23	27.87	0.920
mar_Deva-tgk_Cyrl	25.39	42.73	0.929
ltz_Latn-pes_Arab	26.76	43.86	0.981
slv_Latn-mri_Latn	18.32	41.43	0.972
srp_Cyrl-kam_Latn	2.74	21.63	1.159
vec_Latn-swe_Latn	34.66	54.61	0.969
rus_Cyrl-slk_Latn	29.26	48.17	0.983
acm_Arab-bod_Tibt	5.37	27.03	1.078
som_Latn-mar_Deva	16.51	33.95	0.933
ayr_Latn-swe_Latn	10.23	27.93	0.910
sag_Latn-ars_Arab	8.20	21.70	1.147
fao_Latn-lmo_Latn	6.23	25.90	0.921
swe_Latn-ewe_Latn	13.21	35.88	1.060
crh_Latn-bug_Latn	6.50	30.01	1.017
ceb_Latn-ydd_Hebr	10.26	30.82	1.009
yue_Hant-min_Latn	14.85	39.94	1.000
tsn_Latn-min_Latn	14.32	37.55	1.027
dan_Latn-khm_Khmr	17.53	32.65	0.905
kan_Knda-sot_Latn	14.29	39.66	0.972
zho_Hant-som_Latn	9.30	34.29	1.162
khk_Cyrl-awa_Deva	10.57	27.79	1.087
ars_Arab-tuk_Latn	12.48	33.58	0.984
nus_Latn-kaz_Cyrl	9.23	26.31	1.013
bho_Deva-uzn_Latn	20.92	40.65	0.985
bjn_Arab-sna_Latn	6.27	27.09	1.074
zsm_Latn-ydd_Hebr	12.27	32.40	0.986
cjk_Latn-tur_Latn	8.22	24.17	0.911
slk_Latn-war_Latn	23.90	48.91	0.977
kat_Geor-bam_Latn	5.88	26.60	1.080
ban_Latn-zul_Latn	19.55	41.73	0.990
kmr_Latn-asm_Beng	14.08	27.68	0.970
ory_Orya-arb_Arab	27.00	43.09	0.955
tuk_Latn-ben_Beng	22.61	37.30	1.002
grn_Latn-sot_Latn	11.98	35.55	0.955
ssw_Latn-pol_Latn	16.47	33.64	0.902
yue_Hant-fao_Latn	16.75	36.78	0.955
tsn_Latn-fao_Latn	16.46	35.45	0.982
dik_Latn-bod_Tibt	2.29	18.77	1.043
mos_Latn-mar_Deva	8.32	22.15	0.993
wol_Latn-azj_Latn	9.51	26.97	0.892
fin_Latn-shn_Mymr	11.73	31.09	0.963
kea_Latn-tum_Latn	10.54	32.16	0.839
pes_Arab-fon_Latn	4.16	18.54	1.196
ell_Grek-zul_Latn	21.30	44.79	0.991
swh_Latn-mag_Deva	23.79	43.23	0.985
luo_Latn-lvs_Latn	11.84	31.68	0.962
nld_Latn-ban_Latn	10.81	36.08	1.050
jav_Latn-npi_Deva	22.16	40.14	0.992
pap_Latn-tsn_Latn	21.57	44.95	0.994
umb_Latn-bam_Latn	4.02	21.16	0.934
npi_Deva-ind_Latn	33.04	57.59	0.978
fij_Latn-yue_Hant	7.65	10.77	0.906
gaz_Latn-acm_Arab	4.67	19.40	1.668
dyu_Latn-ell_Grek	9.07	21.71	0.896
khk_Cyrl-bos_Latn	19.92	41.24	0.965
eus_Latn-heb_Hebr	26.98	42.56	0.971
war_Latn-mai_Deva	16.94	35.04	1.020
oci_Latn-war_Latn	25.92	52.60	1.061
aka_Latn-tzm_Tfng	12.81	24.19	1.028
srp_Cyrl-nob_Latn	27.56	50.39	0.979
ltz_Latn-sat_Beng	16.45	24.85	0.943
ars_Arab-nno_Latn	16.33	39.26	0.983
isl_Latn-tha_Thai	23.94	33.82	0.898
mar_Deva-hne_Deva	22.31	42.43	0.969
kea_Latn-por_Latn	44.01	61.75	0.981
lin_Latn-tir_Ethi	10.86	18.40	0.958
hau_Latn-acm_Arab	3.54	16.28	1.859
kmb_Latn-afr_Latn	11.26	31.12	0.942
hne_Deva-fin_Latn	24.04	46.01	0.981
khm_Khmr-spa_Latn	20.65	43.00	0.943
heb_Hebr-hun_Latn	27.23	46.86	0.975
dzo_Tibt-tso_Latn	10.15	34.37	1.031
bem_Latn-npi_Deva	15.26	31.26	0.966
kmr_Latn-plt_Latn	15.44	40.48	0.976
scn_Latn-est_Latn	22.35	44.40	0.965
snd_Arab-fin_Latn	21.78	43.76	0.952
war_Latn-tur_Latn	27.98	46.72	0.970
bho_Deva-dik_Latn	3.73	20.87	1.424
fuv_Latn-kmb_Latn	3.15	21.64	0.971
kea_Latn-sag_Latn	10.27	35.15	1.020
mni_Beng-nus_Latn	9.82	24.72	1.194
afr_Latn-est_Latn	29.16	50.40	0.980
dan_Latn-kac_Latn	12.75	36.46	0.955
acq_Arab-ayr_Latn	5.19	28.84	1.078
hin_Deva-zho_Hans	21.53	18.44	0.887
sat_Beng-srd_Latn	11.11	32.25	1.053
tha_Thai-tgk_Cyrl	22.83	40.09	0.945
ilo_Latn-srd_Latn	24.74	45.70	0.995
cjk_Latn-mai_Deva	5.96	18.50	1.036
kaz_Cyrl-spa_Latn	24.51	46.57	0.922
srd_Latn-tel_Telu	28.49	44.50	0.989
knc_Latn-tgk_Cyrl	10.49	27.65	1.019
cat_Latn-ajp_Arab	26.51	43.07	1.016
bos_Latn-ydd_Hebr	12.34	32.63	1.005
zho_Hans-kat_Geor	25.27	41.01	0.988
sin_Sinh-tpi_Latn	12.89	37.88	0.814
